Measure,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
Age,46.19146608,49.10094637,50.09886548,49.65131579,50.96071429,51.51676529,51.45617978,51.62993763,52.56324582,52.23205742,52.43333333,52.76600985,52.70673077,52.63746959,53.90501319,54.45962733,53.2605042,53.85302594
Sex,1.520787746,1.531545741,1.515397083,1.526315789,1.535714286,1.524654832,1.525842697,1.542619543,1.525059666,1.525059666,,,,,,,,
Children,1.221006565,1.249211356,1.183144246,1.205592105,1.269642857,1.244575937,1.280898876,1.266112266,1.312649165,1.284009547,,,,,,,,
ChildrenUnder18,0.466083151,0.417981073,0.392220421,0.384868421,0.391071429,0.370808679,0.431460674,0.386694387,0.377088305,0.374701671,,,,,,,,
Education,4.5,4.451104101,4.439222042,4.432565789,4.485714286,4.469428008,4.411235955,4.403326403,4.381861575,4.365155131,,,,,,,,
SSES,5.297802198,,,,,5.205940594,,,,,,5.141791045,,,5.114973262,,,5.06122449
OccupationRisk,0.774617068,0.720820189,0.670988655,0.664473684,0.623214286,0.585798817,0.602247191,0.661122661,0.658711217,0.639618138,0.639618138,0.774617068,0.720820189,0.670988655,0.664473684,0.623214286,0.585798817,0.602247191
MoveChildhood,2.530681818,,,,,,,,,,,,,,,,,
Move,4.565995526,,,,,,,,,,,,,,,,,
NumberInHouse,2.725082147,,,,,,,,,,,,,,,,,
Preexisting,1.297149123,,,,,,,,,,,,,,,,,
Citizen,1.972677596,1.979462875,1.988636364,1.98677686,1.983928571,1.98816568,1.995525727,1.995841996,1.997607656,1.992822967,1.995249406,1.997530864,1.983173077,2,1.99204244,1.993710692,1.991573034,1.997093023
Responsible,,6.052050473,,,,,,,,,,,,,,,,
PFINeigh1,5.222100656,5.223974763,5.108589951,5.141447368,5.251798561,5.225296443,5.195067265,5.179166667,5.23923445,5.138755981,5.228028504,5.273399015,5.207729469,5.284671533,5.174603175,5.246105919,5.191011236,5.248554913
PFINeigh2,4.769484083,4.77444795,4.646677472,4.741293532,4.799283154,4.847826087,4.878923767,4.814583333,4.887559809,4.789976134,4.786223278,4.868486352,4.795180723,4.892944039,4.904761905,4.896875,4.966292135,4.933526012
PFINeigh3,4.618161926,4.627575277,4.527597403,4.5330033,4.541218638,4.661386139,4.628635347,4.639583333,4.682577566,4.591885442,4.619952494,4.647783251,4.638554217,4.656934307,4.667546174,4.61682243,4.549019608,4.62716763
PFINeigh4,4.917763158,4.859621451,4.799027553,4.756177924,4.815412186,4.83201581,4.802690583,4.819126819,4.792362768,4.766109785,4.747619048,4.801980198,4.783653846,4.815085158,4.814814815,4.744548287,4.719887955,4.751445087
PFINeigh5,5.692645445,5.819905213,5.758116883,5.731466227,5.860465116,5.903353057,5.890380313,5.871101871,5.85202864,5.793764988,5.869047619,5.884236453,5.81686747,5.761557178,5.817941953,5.909657321,2.185393258,2.156521739
PFINeigh6,4.016447368,4.069620253,3.959415584,3.972039474,4.067857143,4.106508876,4.116331096,3.997912317,4.064439141,3.988038278,4.035629454,4.086206897,3.925480769,4.03163017,3.98944591,4.090342679,3.932773109,3.99132948
WillingnessNeigh,3.524070022,3.342271293,3.159090909,3.2092257,3.060714286,3.061143984,2.993273543,2.995841996,3.08353222,3.050239234,2.995249406,2.975308642,3.040865385,3.01946472,3.103174603,3.087227414,3.075630252,3.046242775
NBTneigh,5.735164835,5.665086888,5.528455285,5.441515651,5.533928571,5.537549407,5.494407159,5.534303534,5.538277512,5.369928401,5.435714286,5.524630542,5.487980769,5.306569343,5.332453826,5.429906542,5.296918768,5.326589595
PFIcountry1,5.509309967,5.498417722,5.380487805,5.365733114,5.476702509,5.397614314,5.379775281,5.384133612,5.403341289,5.369304556,5.426190476,5.444444444,5.487980769,5.506082725,5.480211082,5.48447205,5.389355742,5.416184971
PFIcountry2,5.20131291,5.127962085,4.97398374,5,5.119642857,5.061264822,5.042505593,4.989583333,5.116945107,5.033492823,5.042755344,5.193069307,5.209638554,5.114355231,5.129287599,5.192546584,5.154061625,5.236311239
PFIcountry3,4.799781182,4.723538705,4.609400324,4.641447368,4.731663685,4.705533597,4.766816143,4.72972973,4.770883055,4.649164678,4.674584323,4.721674877,4.699519231,4.700729927,4.693121693,4.682242991,4.426966292,4.636887608
PFIcountry4,4.774122807,4.751974724,4.649350649,4.65625,4.815412186,4.709486166,4.766816143,4.739583333,4.789976134,4.70263789,4.65952381,4.797029703,4.759615385,4.715328467,4.695767196,4.745341615,4.463483146,4.677233429
PFIcountry5,6.038377193,6.127962085,6.053571429,6.034653465,6.078571429,6.100591716,6.022421525,6.103950104,6.081145585,6,6.049881235,6.100985222,6.093975904,6.143902439,6.09762533,6.158385093,1.966292135,1.846820809
PFIcountry6,4.355263158,4.269413629,4.200652529,4.257425743,4.284946237,4.205940594,4.334831461,4.280665281,4.252983294,4.205741627,4.235154394,4.187654321,4.183574879,4.201946472,4.25994695,4.267080745,4.117977528,4.262247839
WillingnessCountry,3.131291028,2.957413249,2.756493506,2.711221122,2.594642857,2.612648221,2.561797753,2.516736402,2.69451074,2.577565632,2.529691211,2.514778325,2.552884615,2.518248175,2.562005277,2.580745342,2.551820728,2.5129683
NBTcountry,5.568605928,5.481012658,5.397082658,5.266886326,5.373214286,5.339250493,5.288590604,5.407484407,5.338902148,5.250596659,5.178147268,5.263546798,5.283653846,5.099756691,5.102902375,5.152173913,5.044817927,5.060518732
InfectedCovid,0.159562842,1.09478673,1.110210697,1.113486842,1.158928571,1.142011834,1.143176734,1.147916667,1.145584726,1.133651551,1.156769596,1.172413793,1.216346154,1.243309002,1.372031662,1.22741433,1.327731092,1.353623188
TestedCovid,1.035161744,1.597194389,1.568181818,1.56097561,1.608591885,1.595300261,1.557275542,1.535502959,1.546075085,1.56122449,1.587591241,1.55234657,1.542955326,1.625874126,1.704797048,1.665048544,1.72244898,1.762096774
WeekSinceCovid,4.214659686,9.325581395,9.413793103,12.54216867,12.86956522,15.63218391,25.75757576,26,25.34482759,26.76190476,27.484375,28.06349206,32.53521127,31.28205128,23.16666667,12.65853659,8.777777778,7.876190476
Symptoms1,1.025219298,1.025437202,1.022764228,1.034653465,1.037567084,1.027833002,0.024943311,0.025210084,0.019230769,0.016908213,0.021479714,0.02238806,1.026699029,0.029268293,0.021276596,,,
Symptoms2,1.098468271,1.126198083,1.109120521,1.116968699,1.114901257,1.092885375,0.100671141,0.09623431,0.089588378,0.071942446,0.112440191,0.106435644,0.086746988,0.100244499,0.116402116,,,
Symptoms3,1.062363239,1.068580542,1.040650407,1.054726368,1.050089445,1.055335968,0.038116592,0.044117647,0.040767386,0.043165468,0.047732697,0.042183623,0.041062802,0.024390244,0.044973545,,,
Symptoms4,1.204395604,1.204437401,1.172077922,1.219471947,1.184587814,1.197628458,0.184684685,0.196242171,0.180288462,0.153846154,0.175903614,0.166253102,0.192682927,0.167076167,0.164021164,,,
Symptoms5,1.157377049,1.181818182,1.114006515,1.150165017,1.158273381,1.142011834,0.139325843,0.155925156,0.169491525,0.148325359,0.139759036,0.143920596,0.14527845,0.147058824,0.124338624,,,
Symptoms6,1.176017602,1.176190476,1.156862745,1.195688226,1.164874552,1.169625247,0.139325843,0.153039832,0.129807692,0.103117506,0.162679426,0.138613861,0.170316302,0.143902439,0.140957447,,,
Symptoms7,1.016393443,1.028616852,1.016339869,1.013245033,1.016100179,1.019762846,0.01793722,0.018789144,0.014457831,0.016786571,0.011933174,0.00990099,0.016990291,0.014669927,0.013227513,,,
Symptoms8,1.051478642,1.058917197,1.056910569,1.056198347,1.051785714,1.051383399,0.040449438,0.048016701,0.024038462,0.028846154,0.040572792,0.037128713,0.03649635,0.041769042,0.045092838,,,
Symptoms9,1.145673604,1.177777778,1.165584416,1.194719472,1.178890877,1.173913043,0.157303371,0.171907757,0.137019231,0.122302158,0.1558753,0.124069479,0.151807229,0.158924205,0.182539683,,,
Symptoms10,1.026286966,1.028753994,1.019512195,1.036423841,1.039355993,1.023715415,0.02247191,0.031380753,0.01686747,0.026442308,0.014388489,0.017326733,0.036319613,0.026894866,0.021220159,,,
Symptoms11,1.04271632,1.060509554,1.040650407,1.052718287,1.058928571,1.04743083,0.049327354,0.05870021,0.05060241,0.045783133,0.06235012,0.054590571,0.053527981,0.048780488,0.039787798,,,
Symptoms12,,1.020700637,1.009756098,1.004950495,1.016129032,1.019762846,0.004474273,0.014644351,0.009638554,0.014423077,0.007194245,0.009950249,0.009708738,0.007352941,0.00802139,,,
Symptoms13,,1.01910828,1.01300813,1.018121911,1.017921147,1.017751479,0.004474273,0.016701461,0.012019231,0.011990408,0.009569378,0.007462687,0.007281553,0.012224939,0.007936508,,,
ContactsInfected,2.297206704,2.2464,3.218241042,3.889802632,4.26534296,4.32938856,4.943820225,5.251046025,5.995203837,5.932853717,6.234449761,7.344059406,8.359223301,8.371638142,10.40740741,13.678125,12.64488636,16.9127907
Contacts24hrs,4.41025641,5.514285714,4.779242175,3.539735099,3.868705036,4.162376238,4.613483146,6.49475891,7.785542169,6.836144578,5.747016706,7.757425743,6.600973236,6.901719902,7.013262599,7.424528302,14.10285714,7.947214076
Contacts7days,,23.14696486,11.22094926,14.10726073,15.76438849,16.57509881,18.91441441,21.30769231,20.26328502,25.65311005,24.9616307,29.66666667,27.75302663,27.08088235,27.7540107,26.89308176,41.07954545,37.61111111
ContactsMask,4.053864169,4.3568,4.210084034,4.172240803,4.335144928,4.25748503,4.213963964,4.19706499,3.844282238,3.112980769,3.210023866,3.637717122,3.718072289,3.75245098,3.525333333,2.946540881,2.759887006,2.642228739
HouseMask,3.799334812,4.038095238,4.112026359,3.955371901,4.059245961,4.057425743,3.977578475,3.92033543,3.630695444,2.909090909,2.973809524,3.348148148,3.330120482,3.348148148,3.21957672,2.532915361,2.457386364,2.377192982
Stress,4.4467618,4.478605388,4.264181524,4.255775578,4.273214286,3.930693069,3.746636771,3.472689076,3.102870813,3.21291866,3.526315789,3.597530864,3.367788462,3.697788698,3.296296296,3.044164038,3.110795455,2.997084548
PerceptionRisk,3.632336656,3.854199683,3.674876847,3.785714286,3.837837838,3.41,3.213636364,3.002096436,2.792270531,2.789855072,3.178743961,3.345771144,3.226829268,3.607940447,3.631868132,3.673333333,3.743902439,3.812903226
InfectionSeverity,4.335170893,4.439178515,4.34375,4.404006678,4.397482014,4.226907631,4.158371041,3.993684211,3.819277108,3.79468599,3.752997602,3.692307692,3.82566586,3.777227723,3.577235772,3.587662338,3.600600601,3.55
ConcernCovid,4.278203724,4.403785489,4.284090909,4.298679868,4.295698925,3.988142292,3.712359551,3.470833333,3.197115385,3.095465394,3.567695962,3.650246305,3.524038462,3.788321168,3.477572559,3.417445483,3.380952381,3.249275362
EconomyVSshutdown,4.996710526,4.894321767,,,,,,,,,,,,,,,,
HelpGiven1,1.592552026,1.436708861,1.37398374,1.347039474,1.324955117,1.272727273,1.278651685,1.278586279,1.250596659,1.244019139,1.2304038,1.262376238,1.254807692,,1.228116711,,,1.388405797
HelpGiven2,1.759340659,1.560126582,1.525203252,1.553719008,1.472271914,1.43960396,1.382550336,1.357588358,1.322195704,1.332535885,1.311163895,1.328395062,1.303614458,,1.356200528,,,1.507246377
HelpGiven3,1.564551422,1.454258675,1.352845528,1.342668863,1.302325581,1.278656126,1.238202247,1.216666667,1.198564593,1.185096154,1.198090692,1.226600985,1.175480769,,1.230769231,,,1.292753623
HelpGiven4,1.558598028,1.450236967,1.345840131,1.287603306,1.320214669,1.253465347,1.261261261,1.21875,1.242206235,1.246411483,1.235154394,1.263546798,1.253012048,,1.251322751,,,1.50872093
HelpGiven5,1.461031833,1.413902054,1.27804878,1.276771005,1.265232975,1.263888889,1.28988764,1.207900208,1.233890215,1.212048193,1.250596659,1.298765432,1.216346154,,1.205804749,,,1.322674419
HelpGiven6,2.75877193,2.733017378,2.534201954,2.495065789,2.52962298,2.382642998,2.333333333,2.252083333,2.233890215,2.148325359,2.097619048,2.253101737,2.175480769,,2.34828496,,,2.457971014
ReasonHelp,,,5.204545455,5.139802632,5.366071429,5.402366864,5.532438479,5.74012474,5.642004773,5.732696897,5.718377088,5.637931034,5.603365385,,5.65171504,,,5.226744186
PersonHelped,,,2.288343558,2.287474333,2.212616822,2.325966851,2.300309598,2.271903323,2.28956229,2.200692042,2.307971014,2.279151943,2.219594595,,2.225806452,,,2.365131579
EmpathyState1,2.84030837,2.719492868,2.844580777,2.851851852,2.71728972,2.845303867,2.820433437,2.848942598,2.847972973,2.860627178,2.934782609,2.96797153,2.834459459,,2.989247312,,,2.704268293
EmpathyState2,2.792723264,2.635350318,2.741273101,2.711340206,2.605140187,2.696132597,2.68847352,2.624242424,2.64527027,2.747404844,2.75,2.800711744,2.567567568,,2.838129496,,,2.614678899
EmpathyState3,4.875550661,4.621621622,4.72244898,4.64476386,4.81264637,4.72299169,4.711180124,4.645454545,4.814189189,4.673611111,4.534545455,4.943262411,4.665540541,,4.949640288,,,4.442073171
EmpathyState4,5.496688742,5.404761905,5.550102249,5.449691992,5.634660422,5.584487535,5.59752322,5.634441088,5.595959596,5.506944444,5.565217391,5.716312057,5.614864865,,5.685920578,,,5.09202454
TimeSinceHelp,,,,,,4.680555556,4.780185759,4.696969697,4.686868687,4.746527778,4.753623188,4.830388693,4.898648649,,4.781362007,,,6.118971061
TimeSinceHelpOld,,5.628571429,5.008163265,4.841563786,4.872641509,,,,,,,,,,,,,
TimeSinceHelpOlder,93.98507463,,,,,,,,,,,,,,,,,
HelpReceived1,1.396267838,1.254746835,1.177814029,1.207920792,1.172043011,1.116370809,1.134228188,1.1375,1.093301435,1.124105012,1.087885986,1.130864198,1.130120482,,1.145118734,,,1.177325581
HelpReceived2,1.413186813,1.365506329,1.330081301,1.303130148,1.279069767,1.225296443,1.178970917,1.222453222,1.191846523,1.217183771,1.163069544,1.197530864,1.18313253,,1.193121693,,,1.25872093
HelpReceived3,1.359735974,1.224683544,1.166666667,1.161716172,1.127468582,1.094674556,1.098654709,1.083682008,1.086124402,1.098086124,1.095238095,1.096059113,1.067307692,,1.079365079,,,1.101449275
HelpReceived4,1.285714286,1.172468354,1.133550489,1.116968699,1.118067979,1.104743083,1.087640449,1.089583333,1.12470024,1.079136691,1.06937799,1.108641975,1.093975904,,1.098143236,,,1.162790698
HelpReceived5,1.226973684,1.172468354,1.094308943,1.10214168,1.098743268,1.093253968,1.07606264,1.09375,1.093301435,1.088305489,1.102137767,1.071604938,1.038461538,,1.068783069,,,1.098550725
HelpReceived6,2.211453744,2.175911252,2.04723127,1.99339934,2.007168459,1.883168317,1.760089686,1.819126819,1.741626794,1.659472422,1.705741627,1.790640394,1.761445783,,1.693121693,,,1.841642229
Predictability1,3.042669584,,,,,,,,,,,,,,,,,
Predictability2,2.997809419,,,,,,,,,,,,,,,,,
Predictability3,2.794085433,,,,,,,,,,,,,,,,,
Predictability4,2.905805038,,,,,,,,,,,,,,,,,
Predictability5,1.874587459,,,,,,,,,,,,,,,,,
Predictability6,2.905805038,,,,,,,,,,,,,,,,,
Predictability7,2.444566411,,,,,,,,,,,,,,,,,
Expectation1,2.417305586,,,,,,,,,,,,,,,,,
Expectation2,2.479166667,,,,,,,,,,,,,,,,,
Expectation3,3.299670692,,,,,,,,,,,,,,,,,
Expectation4,3.179120879,,,,,,,,,,,,,,,,,
Expectation5,3.277412281,,,,,,,,,,,,,,,,,
Expectation6,2.986842105,,,,,,,,,,,,,,,,,
Expectation7,3.360745614,,,,,,,,,,,,,,,,,
Challenges1,1.633479212,,,,,,,,,,,1.416256158,,,,,,
Challenges2,1.460526316,,,,,,,,,,,1.202469136,,,,,,
Challenges3,1.547149123,,,,,,,,,,,1.28817734,,,,,,
Challenges4,1.699890471,,,,,,,,,,,1.488888889,,,,,,
Challenges5,1.27571116,,,,,,,,,,,1.143564356,,,,,,
Challenges6,2.727771679,,,,,,,,,,,2.311881188,,,,,,
IRIconcern1,3.956043956,,,,,,,,,,,3.878712871,,,3.925925926,,,3.912280702
IRIconcern2,3.787047201,,,,,,,,,,,3.809876543,,,3.955145119,,,2.064139942
IRIconcern3,3.966008772,,,,,,,,,,,4.022277228,,,4.047493404,,,1.967930029
IRIconcern4,1.810098793,,,,,,,,,,,4.224137931,,,4.251322751,,,1.816326531
IRIconcern5,3.934210526,,,,,,,,,,,3.86453202,,,3.925925926,,,3.797653959
IRIconcern6,3.894621295,,,,,,,,,,,3.854679803,,,3.926121372,,,3.876832845
IRIdistress1,2.639649507,,,,,,,,,,,2.566502463,,,2.588390501,,,2.502906977
IRIdistress2,2.808114035,,,,,,,,,,,2.683950617,,,2.643799472,,,2.609329446
IRIdistress3,2.587458746,,,,,,,,,,,2.522167488,,,2.448548813,,,3.497093023
IRIdistress4,3.218201754,,,,,,,,,,,2.701234568,,,2.597883598,,,2.613372093
IRIdistress5,2.260964912,,,,,,,,,,,2.155555556,,,2.234042553,,,3.735465116
IRIdistress6,1.950711939,,,,,,,,,,,1.849753695,,,1.845744681,,,1.868804665
IRIdistress7,1.967105263,,,,,,,,,,,1.857142857,,,1.838624339,,,1.904069767
CovidVolunteer,4.615300546,,,,,,,,,,,,,,,,,
TimeSpentOthers,6.714128035,6.161904762,5.109477124,4.797678275,5.416967509,5.332669323,5.903370787,7.516736402,6.802884615,7.712560386,7.22673031,7.824257426,8.036319613,8.046454768,8.566489362,8.034810127,8.929577465,8.497058824
MoneyDonated,48.30588235,20.44517185,14.59934853,43.85662252,17.80866426,22.05168986,22.17264574,18.98526316,34.96821516,29.55048077,29.14492754,35.81389578,42.09779951,30.3,21.66756032,14.25157233,32.52571429,19.03560831
PresentVfuture1,,,2.850649351,,,2.897233202,,2.841995842,,,,,,,,,,
PresentVfuture2,,,4.473170732,,,4.232741617,,4.145530146,,,,,,,,,,
PresentVfuture3,,,4.409756098,,,,,,,,,,,,,,,
PresentVfuture4,,,2.965853659,,,2.95049505,,2.808731809,,,,,,,,,,
FutureImportant,,,5.656910569,,,5.552475248,,5.598752599,,,,,,,,,,
PresentImportant,,,5.636952998,,,,,,,,,,,,,,,
Back2Normal,8.316301703,8.873617694,8.792544571,8.652388797,8.657142857,8.661386139,8.344519016,8.172916667,7.479713604,7.348448687,8.19239905,8.851851852,8.771634615,9.153658537,8.349206349,8.1125,8.02247191,7.822674419
