Context,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11
1,mitochondria,energy,,,,,,,,,
2,brain,energy,fatigue,focus,mood,brain-fog,cravings,,,,
3,brain,,,,,,,,,,
4,myelin,neurons,,,,,,,,,
5,energy-production,fat,sugar,,,,,,,,
5,sugar,cravings,,,,,,,,,
6,toxins,energy,,,,,,,,,
7,adrenaline,energy-production,sugar,insulin,,,,,,,
8,sugar,insulin,energy-production,fat,,,,,,,
9,mitochondria,energy-production,,,,,,,,,
10,cortisol,sugar,insulin,,,,,,,,
11,mitochondria,mitogenesis,,,,,,,,,
12,mitogenesis,testosterone,thyroid,,,,,,,,
13,energy,toxins,,,,,,,,,
14,stress,mitogenesis,detox,energy,,,,,,,
15,energy,neurons,,,,,,,,,
16,myelin,thyroid,neurons,,,,,,,,
17,cholesterol,myelin,fasting,,,,,,,,
18,energy-production,toxins,,,,,,,,,
19,oxidative-stress,toxins,detox,,,,,,,,
20,neurogenesis,fat,toxins,sugar,omega3,stress,exercise,sunlight,sex,,
21,inflammation,brain-fog,fatigue,,,,,,,,
22,inflammation,brain-fog,food-sensitivities,,,,,,,,
22,gut,food-sensitivities,antibiotics,pesticides,processed-foods,,,,,,
23,brain,inflammation,gut,,,,,,,,
23,gut,butter,,,,,,,,,
24,inflammation,polyphenols,,,,,,,,,
25,polyphenols,gut,,,,,,,,,
26,inflammation,,,,,,,,,,
27,inflammation,omega3,omega6,,,,,,,,
28,neurons,oxidative-stress,grounding,,,,,,,,
29,UV-light,EZ-water,,,,,,,,,
30,polyphenols,neurogenesis,apoptosis,inflammation,,,,,,,
31,polyphenols,vegetables,coffee,chocolate,fruits,,,,,,
32,neurotransmission,dopamine,norepinephrine,serotonin,l-tryptophan,melatonin,acetylcholine,gaba,,,
33,dopamine,meat,nuts,fish,fruits,sunlight,,,,,
34,norepinephrine,vitamin-c,dopamine,detox,,,,,,,
35,serotonin,l-tryptophan,mood,depression,,,,,,,
36,l-tryptophan,meat,fish,nuts,,,,,,,
37,acetylcholine,sleep,fatigue,,,,,,,,
38,acetylcholine,meat,eggs,fish,,,,,,,
39,gaba,calming,neurons,anxiety,,,,,,,
40,gaba,meat,fish,eggs,,,,,,,
41,unsaturated-fat,saturated-fat,omega3,omega6,,,,,,,
42,saturated-fat,butter,meat,omega3,,,,,,,
43,saturated-fat,eggs,cholesterol,,,,,,,,
44,olive-oil,detox,unsaturated-fat,,,,,,,,
45,fish,omega3,,,,,,,,,
46,ketosis,fasting,fat,energy-production,gaba,,,,,,
47,ketosis,energy-production,,,,,,,,,
48,ketosis,sleep,cortisol,thyroid,,,,,,,
49,ketosis,MCT,fat,,,,,,,,
50,fasting,myelin,autophagy,inflammation,neurogenesis,mood,,,,,
51,food-sensitivities,,,,,,,,,,
52,trans-fats,processed-foods,fried-foods,mitochondria,inflammation,,,,,,
53,dairy,lactose,gluten,inflammation,polyphenols,,,,,,
54,gluten,gut,inflammation,thyroid,,,,,,,
55,vegetable-oils,omega3,omega6,,,,,,,,
56,mould,toxins,mitochondria,,,,,,,,
57,mould,cereal,grains,meat,,,,,,,
58,mould,coffee,,,,,,,,,
59,mould,dried-fruit,,,,,,,,,
60,mould,wine,,,,,,,,,
61,mould,beer,,,,,,,,,
62,mould,chocolate,,,,,,,,,
63,mould,nuts,,,,,,,,,
64,corn,mould,pesticides,,,,,,,,
65,MSG,toxins,mitochondria,,,,,,,,
66,toxins,,,,,,,,,,
67,aspartame,neurons,mitochondria,gut,toxins,,,,,,
68,soy-sauce,mould,mitochondria,,,,,,,,
69,fluoride,water,thyroid,,,,,,,,
70,gmo,pesticides,mitochondria,acetylcholine,,,,,,,
71,mercury,inflammation,mitochondria,,,,,,,,
72,insulin,neurons,,,,,,,,,
73,sugar,dopamine,oxidative-stress,mood,inflammation,,,,,,
74,coconut-oil,saturated-fat,MCT,inflammation,,,,,,,
75,fried-foods,meat,mitochondria,oxidative-stress,apoptosis,,,,,,
76,fat,energy-production,myelin,inflammation,,,,,,,
77,mould,,,,,,,,,,
78,heavy-metals,toxins,,,,,,,,,
79,arsenic,pesticides,water,seafood,heavy-metals,brown-rice,neurons,,,,
80,cadmium,heavy-metals,grains,oxidative-stress,mitochondria,,,,,,
81,lead,heavy-metals,water,mitochondria,,,,,,,
82,mercury,heavy-metals,seafood,fatigue,depression,focus,memory,,,,
83,mitochondria,drugs,,,,,,,,,
84,drugs,mitochondria,glutathione,,,,,,,,
85,drugs,mitochondria,,,,,,,,,
86,detox,toxins,,,,,,,,,
87,detox,sauna,,,,,,,,,
88,exercise,circulation,detox,,,,,,,,
89,detox,,,,,,,,,,
90,circulation,detox,inflammation,energy-production,,,,,,,
91,detox,fish,heavy-metals,,,,,,,,
92,energy,light,,,,,,,,,
93,UV-light,,,,,,,,,,
94,infrared-light,light,,,,,,,,,
95,serotonin,sunlight,melatonin,sleep,,,,,,,
96,EZ-water,light,sunlight,mitochondria,vegetables,toxins,,,,,
97,light,UV-light,infrared-light,sunlight,,,,,,,
98,mitogenesis,infrared-light,collagen,,,,,,,,
98,collagen,infrared-light,,,,,,,,,
99,light,stress,focus,,,,,,,,
100,oxygen,BDNF,energy-production,,,,,,,,
101,breathing,energy,,,,,,,,,
102,cold,testosterone,norepinephrine,autophagy,insulin,thyroid,growth-hormone,inflammation,PGC-1,,
103,cold,calming,,,,,,,,,
104,lymphatic-system,detox,,,,,,,,,
104,glymphatic-system,detox,EZ-water,,,,,,,,
105,glymphatic-system,sleep,,,,,,,,,
106,sleep,growth-hormone,memory,,,,,,,,
107,growth-hormone,mitogenesis,neurogenesis,,,,,,,,
108,sugar,sleep,cravings,mood,,,,,,,
109,glymphatic-system,mitochondria,sleep,,,,,,,,
110,meditation,cortisol,stress,adrenaline,,,,,,,
111,meditation,,,,,,,,,,
112,BDNF,neurogenesis,memory,,,,,,,,
113,neurogenesis,neurons,stress,anxiety,depression,,,,,,
114,exercise,mitochondria,PGC-1,,,,,,,,
115,mitogenesis,metabolism,BDNF,,,,,,,,
115,BDNF,PGC-1,,,,,,,,,
116,exercise,sugar,insulin,circulation,,,,,,,
117,exercise,,,,,,,,,,
118,exercise,anxiety,fatigue,memory,happiness,lymphatic-system,testosterone,growth-hormone,stress,cortisol,BDNF
119,BDNF,exercise,,,,,,,,,
120,exercise,growth-hormone,,,,,,,,,
121,EZ-water,,,,,,,,,,
122,exercise,EZ-water,,,,,,,,,
123,melanin,energy-production,sunlight,,,,,,,,
124,melanin,polyphenols,,,,,,,,,
125,coffee,melanin,polyphenols,,,,,,,,
126,coffee,EZ-water,butter,,,,,,,,
