key,description
Age,
Sex,
Children,
Under12,Children under 12
Over12,Children over 12
Education,"(1=Less than High School, 2=High School, 3=Some College, 4=2-year degree (Associates), 5=4-year degree (BA, BS), 6=Master's Degree, 7=Doctoral Degree, 8=Professional Degree)"
SubjectiveSES,"At the top of the ladder are the people who are the best off, have the most money, most education, and best jobs. These people are represented by number 10 marked on the ladder. At the bottom are the people who are the worst off, have the least money, least education, worst jobs, or no job. These people are represented by number 1 at the bottom of the ladder. "
Ethnicity,"(1=Asian or Pacific Islander, 2=Hispanic or Latino/a, 3=White or Caucasian, 4=Black or African American, 5=Native American, 6=Other)"
English," Is English your first language? (1=Yes, 2=No)"
Fluent,"Do you consider yourself to be fluent in English? (1=Yes, 2=No)"
LivingSituation,"What is your current living situation? (1=Living alone, 2=Living with non-family roommates, 3=Living with family roommates, 4=Living with parents, 5=Living with spouse and children, 6=Living with extended family)"
Preexisting,"Do you have any pre-existing health conditions that require you to take extra precautions to avoid being sick? (1=Yes, 2=No)
"
MateSeeking1,"I spend a lot of time thinking about ways to meet possible dating partners. (1=Strongly disagree, 7=Strongly agree)"
MateSeeking2,"Starting a new romantic/sexual relationship is not a high priority for me. (1=Strongly disagree, 7=Strongly agree)"
PFIclose1,"When my close friend succeeds, I feel good. (1=Do not agree at all, 7=Strongly agree)"
PFIclose2,"When my close friend fails, I feel bad (1=Do not agree at all, 7=Strongly agree)"
PFIclose3,"I feel that my close friend's gain is my gain. (1=Do not agree at all, 7=Strongly agree)"
PFIclose4," What is good for my close friend is good for me. (1=Do not agree at all, 7=Strongly agree)"
PFIclose5,"Honestly, I don't care whether my close friend thrives or not. (1=Do not agree at all, 7=Strongly agree)"
PFIclose6,"My close friend and I rise and fall together (1=Do not agree at all, 7=Strongly agree)"
CFIclose1," When something good happens to my close friend, that is ŕ (-3=Very bad for me, 3=Very good for me)"
CFIclose2,"When something bad happens to my close friend, that is (-3=Very bad for me, 3=Very good for me)"
CFIclose3,"When my close friend succeeds, I feel (-3=Very bad for me, 3=Very good for me)"
CFIclose4,"When my close friend fails, I feel (-3=Very bad for me, 3=Very good for me)"
CFIclose5," My close friend's gain is (-3=Very bad for me, 3=Very good for me)"
CFIclose6,"My close friend's loss is (-3=Very bad for me, 3=Very good for me)"
PFIAcq1,"When my acquaintance succeeds, I feel good. (1=Do not agree at all, 7=Strongly agree)"
PFIAcq2,"When my acquaintance fails, I feel bad (1=Do not agree at all, 7=Strongly agree)"
PFIAcq3," I feel that my acquaintance's gain is my gain. (1=Do not agree at all, 7=Strongly agree)"
PFIAcq4,"What is good for my acquaintance is good for me. (1=Do not agree at all, 7=Strongly agree)"
PFIAcq5,"Honestly, I don't care whether my acquaintance thrives or not. (1=Do not agree at all, 7=Strongly agree)"
PFIAcq6,"My acquaintance and I rise and fall together (1=Do not agree at all, 7=Strongly agree)"
CFIAcq1,"When something good happens to my acquaintance, that is (-3=Very bad for me, 3=Very good for me)"
CFIAcq2,"CFIAcq - When something bad happens to my acquaintance, that is (-3=Very bad for me, 3=Very good for me)"
CFIAcq3,"CFIAcq - When my acquaintance succeeds, I feel (-3=Very bad for me, 3=Very good for me)"
CFIAcq4,"CFIAcq - When my acquaintance fails, I feel (-3=Very bad for me, 3=Very good for me)"
CFIAcq5,"My acquaintance's gain is (-3=Very bad for me, 3=Very good for me)"
CFIAcq6,"CFIAcq - My acquaintance's loss is (-3=Very bad for me, 3=Very good for me)"
PSS1,"In the last month, how often have you been upset because of something that happened unexpectedly? (1=Never, 5=Very often)"
PSS2,"In the last month, how often have you felt that you were unable to control the important things in your life? (1=Never, 5=Very often)"
PSS3," In the last month, how often have you felt nervous and ôstressedö? (1=Never, 5=Very often)"
PSS4,"In the last month, how often have you felt confident about your ability to handle your personal problems? (1=Never, 5=Very often)"
PSS5," In the last month, how often have you felt that things were going your way? (1=Never, 5=Very often)"
PSS6,"In the last month, how often have you found that you could not cope with all the things that you had to do? (1=Never, 5=Very often)"
PSS7,"In the last month, how often have you been able to control irritations in your life? (1=Never, 5=Very often)"
PSS8," In the last month, how often have you felt that you were on top of things? (1=Never, 5=Very often)"
PSS9,"In the last month, how often have you been angered because of things that were outside of your control? (1=Never, 5=Very often)"
PSS10," In the last month, how often have you felt difficulties were piling up so high that you could not overcome them? (1=Never, 5=Very often)"
Stress,"How stressed do you currently feel dealing with changes caused by COVID19? (1=Not at all stressed, 7=Extremely stressed)"
Anxiety,"How anxious do you feel when you think about the current events going on in the world? (1=Not at all anxious, 7=Extremely anxious)"
Anxiety1,"Over the last two weeks, how often have you been bothered by the following problems? - Feeling nervous, anxious, or on edge (1=Not at all, 2=Several days, 3=Over half of the days, 4=Nearly every day)"
Anxiety2,"Over the last two weeks, how often have you been bothered by the following problems? - Not being able to stop or control worrying (1=Not at all, 2=Several days, 3=Over half of the days, 4=Nearly every day)"
Anxiety3,"Over the last two weeks, how often have you been bothered by the following problems? - Worrying too much about different things (1=Not at all, 2=Several days, 3=Over half of the days, 4=Nearly every day)"
Anxiety4,"Over the last two weeks, how often have you been bothered by the following problems? - Trouble relaxing (1=Not at all, 2=Several days, 3=Over half of the days, 4=Nearly every day)"
Anxiety5," Over the last two weeks, how often have you been bothered by the following problems? - Being so restless that it's hard to sit still (1=Not at all, 2=Several days, 3=Over half of the days, 4=Nearly every day)"
Anxiety6,"Over the last two weeks, how often have you been bothered by the following problems? - Becoming easily annoyed or irritable (1=Not at all, 2=Several days, 3=Over half of the days, 4=Nearly every day)"
Anxiety7,"Over the last two weeks, how often have you been bothered by the following problems? - Feeling afraid as if something awful might happen (1=Not at all, 2=Several days, 3=Over half of the days, 4=Nearly every day)"
PerceptionsRisk,"How likely do you think it is that you will contract COVID19? (1=Not at all, 7=Extremely)"
PerceptionsRisk2,"How likely is it that the epidemic will get a lot worse before it gets better? (1=Not at all, 7=Extremely)"
PerceptionsRisk3,"How likely are you to avoid places where you might contract the virus (school, work, hospitals, etc.)? (1=Not at all, 7=Extremely)"
Riskmanagementtransfer,"I am likely to ask parents or friends for help preparing for the COVID19 epidemic. (1=Do not agree at all, 7= Strongly agree)"
Riskmanagementretention,"I have been stocking up on food and supplies so that I am prepared for the COVID19 epidemic. (1=Do not agree at all, 7= Strongly agree)"
Riskmanagementreduction,"I try to reduce my risk of getting COVID19 by doing things like washing my hands often. (1=Do not agree at all, 7= Strongly agree)"
Riskmanagementavoidance,"I completely avoid situations that could put me at risk of contracting COVID19, like going to the grocery store when it is crowded. (1=Do not agree at all, 7= Strongly agree)"
RiskmanagementAvoid1,"I completely avoid situations that could put me at risk of contracting COVID19, for example staying away from large events where there have been cases. (1=Do not agree at all, 7= Strongly agree)"
RiskmanagementAvoid2,"I completely avoid situations that could put me at risk of contracting COVID19, for example not traveling to locations where there have been cases. (1=Do not agree at all, 7= Strongly agree)"
Riskmanagementreduction2,"I try to reduce my risk of getting COVID19 by wearing a mask when I leave the house. (1=Do not agree at all, 7= Strongly agree)"
RiskmanagementavoidComposite,composite of avoidance questions
RiskmanagementreductionComposite,composite of reduction questions
DiseaseAvoidance1,"I avoid places and people that might carry diseases. (1=Strongly disagree, 7=Strongly agree)"
DiseaseAvoidance2,"I avoid people who might have a contagious illness. (1=Strongly disagree, 7=Strongly agree)"
DiseaseAvoidance3,"I worry about catching colds and the flu from too much contact with other people. (1=Strongly disagree, 7=Strongly agree)"
DiseaseAvoidance4,"I do not worry very much about getting germs from others. (1=Strongly disagree, 7=Strongly agree)"
DiseaseAvoidance5,"When someone near me is sick, it doesn't bother me very much. (1=Strongly disagree, 7=Strongly agree)"
DiseaseAvoidance6,"I don't mind being around people who are sick. (1=Strongly disagree, 7=Strongly agree)"
CPR1,"If a stranger collapses and it looks like they need CPR (cardiopulmonary resuscitation), I would be willing to start performing CPR. (1=Not at all willing, 7=Very willing)"
CPR2,"If an acquaintance collapses and it looks like they need CPR (cardiopulmonary resuscitation), I would be willing to start performing CPR. (1=Not at all willing, 7=Very willing)"
CPR3,"If a family member collapses and it looks like they need CPR (cardiopulmonary resuscitation), I would be willing to start performing CPR. (1=Not at all willing, 7=Very willing)"
Delay1,"I am considering delaying routine checkups and dentist visits. (1=Strongly disagree, 7=Srongly agree)"
NonfoodHave,How many days of non-food supplies do you currently have for your household?
NonfoodWant,How many days of non-food supplies would you like to have for your household?
FoodHave,How many days of food do you currently have for your household?
FoodWant,How many days of food would you like to have for your household?
Summer1,"How much are you thinking about your plans (travel, work, vacation, etc.) for... - the next week? (1=Not at all, 7=Very much)"
Summer2,"How much are you thinking about your plans (travel, work, vacation, etc.) for... - the next month? (1=Not at all, 7=Very much)"
Summer3,"How much are you thinking about your plans (travel, work, vacation, etc.) for... - the summer? (1=Not at all, 7=Very much)"
Concern,"How concerned are you about becoming infected with COVID19? (1=Not at all concerned, 7=Very concerned)"
OtherConcern,"How concerned are you about other matters (not-related to infection) associated with the COVID19 outbreak? (1=Not at all concerned, 7=Very concerned)"
DiscussWith1,"How likely are you to talk about your concerns or show that you are concerned with COVID19 with the following people? - Family (1=Not at all likely, 7=Very likely)"
DiscussWith2,"How likely are you to talk about your concerns or show that you are concerned with COVID19 with the following people? - Friends (1=Not at all likely, 7=Very likely)"
DiscussWith3,"How likely are you to talk about your concerns or show that you are concerned with COVID19 with the following people? - Coworkers (1=Not at all likely, 7=Very likely)"
DiscussWith4,"How likely are you to talk about your concerns or show that you are concerned with COVID19 with the following people? - Strangers (1=Not at all likely, 7=Very likely)"
PFINeighEmpathy,"When my neighborhood succeeds, I feel good. (1=Do not agree at all, 7=Strongly agree)"
PFINeigh2,"When my neighborhood fails, I feel bad (1=Do not agree at all, 7=Strongly agree)"
PFINeigh3,"I feel that my neighborhood's gain is my gain. (1=Do not agree at all, 7=Strongly agree)"
PFINeigh4,"What is good for my neighborhood is good for me. (1=Do not agree at all, 7=Strongly agree)"
PFINeigh5,"Honestly, I don't care whether my neighborhood thrives or not. (1=Do not agree at all, 7=Strongly agree)"
PFINeighSharedFate,"My neighborhood and I rise and fall together (1=Do not agree at all, 7=Strongly agree)"
CFINeigh1,"When something good happens to my neighborhood, that is (-3 = Very bad for me, 3 = Very good for me)"
CFINeigh2,"When something bad happens to my neighborhood, that is (-3 = Very bad for me, 3 = Very good for me)"
CFINeigh3,"When my neighborhood succeeds, I feel (-3 = Very bad for me, 3 = Very good for me)"
CFINeigh4,"When my neighborhood fails, I feel (-3 = Very bad for me, 3 = Very good for me)"
CFINeigh5,"My neighborhood's gain is (-3 = Very bad for me, 3 = Very good for me)"
CFINeigh6,"My neighborhood's loss is (-3 = Very bad for me, 3 = Very good for me)"
WillingnessNeigh1,"During a winter storm, someone from your neighborhood knocks on your door because their heating is out. How willing would you be to let them sleep in your living room for the night? (1=Not at all willing, 7=Very willing)"
WillingnessNeigh2,"Someone from your neighborhood has no water in their house. How willing would you be to fill their jugs with water from your tap? (1=Not at all willing, 7=Very willing)"
WillingnessNeigh,"Someone from your neighborhood is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week? (1=Not at all willing, 7=Very willing)"
WillingnessNeigh4,"How willing would you be to help someone from your neighborhood move boxes into their new apartment? (1=Not at all willing, 7=Very willing)"
RepayNeigh1,"How much repayment or compensation would you expect for helping someone from your neighborhood? (1=I would not expect any repayment or compensation, 7=I would expect equal repayment or compensation)"
NBTNeigh,"Helping someone from my neighborhood when they are in need is the right thing to do. (1=Strongly disagree, 7= Strongly agree)"
NBTNeigh2,"I get a strong urge to help when I see that someone from my neighborhood is upset. (1=Strongly disagree, 7= Strongly agree)"
PFICountry1,"When my country succeeds, I feel good. (1=Do not agree at all, 7=Strongly agree)"
PFICountry2,"When my country fails, I feel bad (1=Do not agree at all, 7=Strongly agree)"
PFICountry3,"I feel that my country's gain is my gain. (1=Do not agree at all, 7=Strongly agree)"
PFICountry4,"What is good for my country is good for me. (1=Do not agree at all, 7=Strongly agree)"
PFICountry5,"Honestly, I don't care whether my country thrives or not. (1=Do not agree at all, 7=Strongly agree)"
PFICountry6,"My country and I rise and fall together (1=Do not agree at all, 7=Strongly agree)"
CFICountry1,"When something good happens to my country, that is (-3 = Very bad for me, 3 = Very good for me)"
CFICountry2,"When something bad happens to my country, that is (-3 = Very bad for me, 3 = Very good for me)"
CFICountry3,"When my country succeeds, I feel (-3 = Very bad for me, 3 = Very good for me)"
CFICountry4,"When my country fails, I feel (-3 = Very bad for me, 3 = Very good for me)"
CFICountry5,"My country's gain is (-3 = Very bad for me, 3 = Very good for me)"
CFICountry6,"My country's loss is (-3 = Very bad for me, 3 = Very good for me)"
WillingnessCountry1,"During a winter storm, a displaced person who is a citizen of your own country knocks on your door because their heating is out. How willing would you be to let them sleep in your living room for the night? (1=Not at all willing, 7=Very willing)"
WillingnessCountry2,"A displaced person who is a citizen of your own country has no water in their house. How willing would you be to fill their jugs with water from your tap? (1=Not at all willing, 7=Very willing)"
WillingnessCountry3," A displaced person who is a citizen of your own country is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week? (1=Not at all willing, 7=Very willing)"
WillingnessCountry4,"How willing would you be to help a displaced person who is a citizen of your own country move boxes into their new apartment? (1=Not at all willing, 7=Very willing)"
RepayCountry1,"How much repayment or compensation would you expect for helping someone from a displaced person who is a citizen of your own country? (1=I would not expect any repayment or compensation, 7=I would expect equal repayment or compensation)"
NBTCommunity1,"Helping a displaced person who is a citizen of your own country when they are in need is the right thing to do. (1=Strongly disagree, 7=Strongly agree)"
NBTCommunity2,"I get a strong urge to help when I see that a displaced citizen from my own country is upset. (1=Strongly disagree, 7=Strongly agree)"
PFIHumanityEmpathy,"When all of humanity succeeds, I feel good. (1=Strongly disagree, 7=Strongly agree)"
PFIHumanity2,"When all of humanity fails, I feel bad (1=Strongly disagree, 7=Strongly agree)"
PFIHumanity3,"I feel that all of humanity's gain is my gain. (1=Strongly disagree, 7=Strongly agree)"
PFIHumanity4,"What is good for my all of humanity is good for me. (1=Strongly disagree, 7=Strongly agree)"
PFIHumanity5,"Honestly, I don't care whether all of humanity thrives or not. (1=Strongly disagree, 7=Strongly agree)"
PFIHumanitySharedFate,"All of humanity and I rise and fall together (1=Strongly disagree, 7=Strongly agree)"
CFIHumanity1,"When something good happens to all of humanity, that is (-3 = Very bad for me, 3 = Very good for me)"
CFIHumanity2,"When something bad happens to all of humanity, that is (-3 = Very bad for me, 3 = Very good for me)"
CFIHumanity3,"When all of humanity succeeds, I feel (-3 = Very bad for me, 3 = Very good for me)"
CFIHumanity4,"CFIHumanity - When all of humanity fails, I feel (-3 = Very bad for me, 3 = Very good for me)"
CFIHumanity5,"All of humanity's gain is (-3 = Very bad for me, 3 = Very good for me)"
CFIHumanity6,"All of humanity's loss is (-3 = Very bad for me, 3 = Very good for me)"
WillingnessHumanity1,"During a winter storm, a displaced person who is not a citizen of your own country knocks on your door because their heating is out. How willing would you be to let them sleep in your living room for the night? (1=Not at all willing, 7=Very willing)"
WillingnessHumanity2,"A displaced person who is not a citizen of your own country has no water in their house. How willing would you be to fill their jugs with water from your tap? (1=Not at all willing, 7=Very willing)"
WillingnessHumanity,"A displaced person who is not a citizen of your own country is having their house fixed, so it isn't livable. How willing would you be to let them move into your house for a week? (1=Not at all willing, 7=Very willing)"
WillingnessHumanity4,"How willing would you be to help a displaced person who is not a citizen of your own country move boxes into their new apartment? (1=Not at all willing, 7=Very willing)"
RepayHumanity1,"How much repayment or compensation would you expect for helping someone from a displaced person who is not a citizen of your own country? (1=I would not expect any repayment or compensation, 7= I would expect equal repayment or compensation)"
NBTHumanity,"Helping a displaced person who is not a citizen of your own country when they are in need is the right thing to do. (1=Strongly disagree, 7= Strongly agree)"
NBTHumanity2,"I get a strong urge to help when I see that a displaced citizen who is not from my own country is upset. (1=Strongly disagree, 7= Strongly agree)"
PrepTimeCovidnotCOVID,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? Spent time on things NOT RELATED to the COVID19 (% of your time)"
PrepTimeCovidtracking,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations?  (% of your time)"
PrepTimeCovidtalking,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? Spent time talking, texting, etc., with family, friends, and coworkers about COVID19 and how to prepare for it (% of your time)"
PrepTimeCovidnewrelationships,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? Spent time trying to develop new relationships, or improving existing relationships, with family, friends, neighbors, coworkers, church congregation members, etc. (% of your time)"
PrepTimeCovidmedical,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? Spent time stocking up on medical supplies such as medications (% of your time)"
PrepTimeCovidfood,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? Spent time stocking up on food (% of your time)"
PrepTimeCovidwater,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? Spent time stocking up on water or prepa ring in case the water supply fails (% of your time)"
PrepTimeCovidpower,"Since you learned about COVID19, how much effort (time, energy, money) have you put into these preparations? Spent time buying supplies in case there is a loss of power from the electrical grid (I.e., buying solar power, generators, batteries) (% of your time)"
PrepTimeCovidhomedefense,"Spent time buying supplies for home defense (I.e., guns, ammo, door locks, security systems) (% of your time)"
PrepTimeCovidfinancial,"Spent time planning for the possible impact on your business, career, investments, pension, home equity, etc.? (% of your time)"
PrepTimeCovidbarter,Spent time stocking up on physical goods that you could trade or barter if things get bad? (% of your time)
PrepTimeCovidother,Spent time on anything else related to preparing for COVID19? (% of your time)
PrepCOVIDPoliticalLeaders,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - National political leaders (1=Very bad, 5=Neutral, 10=Excelent)"
PrepCOVIDLocalGov,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Local or city government (1=Very bad, 5=Neutral, 10=Excelent)"
PrepCOVIDNationalHealthcare,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - National healthcare system (1=Very bad, 5=Neutral, 10=Excelent)"
PrepCOVIDLocalHealthcare,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Local healthcare system (1=Very bad, 5=Neutral, 10=Excelent)"
PrepCOVIDNationalMedia,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - National media (1=Very bad, 5=Neutral, 10=Excelent)"
PrepCOVIDLocalMedia,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Local media (1=Very bad, 5=Neutral, 10=Excelent)"
PrepCOVIDAirline,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Airline transport system (1=Very bad, 5=Neutral, 10=Excelent)"
PrepCOVIDEmployer,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Your employer (1=Very bad, 5=Neutral, 10=Excelent)"
PrepCOVIDExtendedFamily,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Your extended family (grandparents, parents, aunts, uncles, cousins, in-laws, etc.) (1=Very bad, 5=Neutral, 10=Excelent)"
PrepCOVIDSigOther,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Your significant other (boyfriend, girlfriend, wife, husband) (1=Very bad, 5=Neutral, 10=Excelent)"
PrepCOVIDParents,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Your parents (1=Very bad, 5=Neutral, 10=Excelent)"
PrepCOVIDSiblings,"In preparing for and managing COVID19, how good of a job do you think the following individuals are doing: - Your siblings (brothers, sisters, etc.) (1=Very bad, 5=Neutral, 10=Excelent)"
Howmuch,How much money have you spent on preparations for COVID19?
currency,"What type of currency was this? (1=USD, 2=EUR, 3=JPY, 4=GBP, 5=AUD, 6=CAD, 7=CHF, 8=CNH, 9=SEK, 10=NZD)"
CloseFriendPFIEmpathyComposite,
AcqPFIEmpathyComposite,
NeighborPFIEmpathyComposite,
CountryPFIEmpathyComposite,
HumanityPFIEmpathyComposite,
CloseFriendPFISharedFAteComposite,
